NTC
Client,Branch,Fleet,Vehicle Unit Number,Year,Make,Model,Vin#,License Plate #,License State,Purchase Price,In Service Date,Vehicle Type,Engine Manufacturer,Engine Serial #,Tire Size
RC Willey,Reno Delivery,Reno Tractors,77106,2019,Freightliner,M2106,3AKBCXD24KDKL0146,Z066607,UT,,10/15/18,Tractor,,,295/75R22.5
RC Willey,Reno Delivery,Reno Straight Trucks,77210,2015,Freightliner,M2106,1FVACWDT2FHGN1568,Z078451,UT,,10/15/14,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77211,2015,Freightliner,M2106,1FVACWDT2FHGN1571,Z038422,UT,,10/15/14,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77212,2015,Freightliner,M2106,1FVACWDT3FHGN1577,Z039993,UT,,10/15/14,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77213,2020,Freightliner,M2106,3ALACWFB0LDLN4611,Z062943,UT,,10/15/18,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77214,2020,Freightliner,M2106,3ALACWFB2LDLN4612,Z062944,UT,,10/15/18,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77215,2020,Freightliner,M2106,3ALACWFB6LDLN4614,Z062942,UT,,10/15/18,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77216,2020,Freightliner,M2106,3ALACWFB4LDLN4613,Z062945,UT,,10/15/18,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77217,2021,Freightliner,M2106,3ALACWFB7MDMT2741,Z076624,UT,,12/1/20,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77218,2021,Freightliner,M2106,3ALACWFB9MDMT2742,Z076913,UT,,12/1/20,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77219,2021,Freightliner,M2106,3ALACWFB0MDMT2743,Z076911,UT,,12/1/20,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Straight Trucks,77230,2021,Freightliner,M2106,3ALACWFB2MDMT2744,Z076912,UT,,12/1/20,Straight Truck,,,245/70R19.5
RC Willey,Reno Delivery,Reno Light Duty Trucks,77222,2014,Dodge,3500,3C7WRTBJXEG198714,500AVZ,NV,,5/15/14,Light Duty,,,
RC Willey,Reno Delivery,Reno Vans,77803,2011,GMC,Savana,1GTS7AFX8B1174801 ,925XYD,NV,,10/20/11,Light Duty,,,
RC Willey,Reno Delivery,Reno Vans,77805,2019,Mercedes,Sprinter,WD4PF1CD7KP159020,,NV,,2/1/20,Light Duty,,,
RC Willey,Reno Delivery,Reno Vans,77808,2018,FORD,Transit,1FTYE1YM7JKA13769,851G83,NV,,7/15/18,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Tractors,49104,2018,Freightliner,CA113,3AKBGBDV6JSJR6884,Z059719,UT,,8/1/22,Tractor,,,295/75R22.5
RC Willey,Rocklin Distribution Center - RDC,RDC Tractors,59142,2012,Kenworth,T370,2XKHAN7XXCM318509,Z017194,UT,,9/1/11,Tractor,,,295/75R22.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49213,2014,Freightliner,M2106,3ALACWDT1EDFS5674,16885M1,CA,,8/1/13,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49225,2014,Freightliner,M2106,3ALACWDT1EDFW5575,60642J2,CA,,8/1/13,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49226,2018,Freightliner,M2106,3ALACWFB3JDJR6858,56359H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49227,2018,Freightliner,M2106,3ALACWFB5JDJR6859,56265H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49228,2018,Freightliner,M2106,3ALACWFB1JDJR6860,56360H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49229,2018,Freightliner,M2106,3ALACWFB3JDJR6861,56264H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49230,2018,Freightliner,M2106,3ALACWFB5JDJR6862,56403H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49231,2018,Freightliner,M2106,3ALACWFB7JDJR6863,56416H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49232,2018,Freightliner,M2106,3ALACWFB9JDJR6864,56361H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49233,2018,Freightliner,M2106,3ALACWFB0JDJR6865,56404H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49234,2018,Freightliner,M2106,3ALACWFB2JDJR6866,56418H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49235,2018,Freightliner,M2106,3ALACWFB4JDJR6867,56417H2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49236,2018,Freightliner,M2106,3ALACWFB6JDJR6868,10143N2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49237,2018,Freightliner,M2106,3ALACWFB8JDJR6869,24386E2,CA,,11/1/17,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49238,2021,International,MV607,3HAEWMML9ML308644,36825B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49239,2021,International,MV607,3HAEWMML0ML308645,36802B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49240,2021,International,MV607,3HAEWMML2ML308646,36812B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49241,2021,International,MV607,3HAEWMML4ML308647,36822B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49242,2021,International,MV607,3HAEWMML6ML308648,36805B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49244,2021,International,MV607,3HAEWMML4ML308650,36813B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49245,2021,International,MV607,3HAEWMML6ML308651,36814B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC Straight Trucks,49246,2021,International,MV607,3HAEWMML8ML308652,36811B3,CA,,11/1/20,Straight Truck,,,245/70R19.5
RC Willey,Rocklin Distribution Center - RDC,RDC IT Cars,49808,2017,Toyota,Yaris,VNKKTUD32HA077431,8CVV902,CA,,12/15/17,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Vans,49804,2015,Ford,Transit,1FTNE1YM0FKA99467,39544W1,CA,,8/1/15,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Vans,49805,2016,Ford,Transit,1FTYE1YM0GKA11788,89049Y1,CA,,2/15/16,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Vans,49806,2016,Ford,Transit,1FTYE1YM6GKA17577,89050Y1,CA,,3/1/16,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Vans,49807,2017,Mercedes,Sprinter,WD3PE8CD4HP531762,54337k2,CA,,2/1/18,Light Duty,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,57367,2007,Great Dane,"S/A, Van, 31'",1GRAA61157B710544,4MV8453,ID,,1/1/07,Trailer,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,49600,2000,TRLMO,UTILITY,1PT01JAH7Y9005579,4KP9619,CA,,1/1/00,Trailer,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,49601,2000,GRATD,UTILITY,1PNV532B1YG314001,4KP9618,CA,,1/1/00,Trailer,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,57626,2009,Utility,53' Foot,1UYVS25319P647513,TE688,ID,,1/1/09,Trailer,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,57629,2009,Utility,53' Foot,1UYVS25379P647516,TE691,ID,,1/1/09,Trailer,,,
RC Willey,Rocklin Distribution Center - RDC,RDC Trailers,57631,2009,Utility,53' Foot,1UYVS25309P647518,TR5115,ID,,1/1/09,Trailer,,,
RC Willey,Boise Delivery,Boise Tractors,71115,2007,International,4300,1HSMMAAN68H562754,XG773,ID,,7/15/07,Tractor,,,295/75R22.5
RC Willey,Boise Delivery,Boise Tractors,71120,2017,International,4300,1HSMMMMN6HH474655,Z050500,UT,,8/1/16,Tractor,,,295/75R22.5
RC Willey,Boise Delivery,Boise Tractors,71121,2019,Freightliner,M2106,3AKBCXD2XKDKL6517,Z063687,UT,,7/1/18,Tractor,,,295/75R22.5
RC Willey,Boise Delivery,Boise Straight Trucks,59232,2021,Freightliner,M2106,3ALACWFB8MDMT2747,A043939,UT,,3/1/21,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,59233,2021,Freightliner,M2106,3ALACWFBXMDMT2748,A043938,UT,,3/1/21,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71202,2016,Freightliner,M2106,3ALACWDT1GDHC2102,A023000,UT,,8/1/15,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71203,2016,Freightliner,M2106,3ALACWDT3GDHC2104,A031468,UT,,8/1/15,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71204,2017,Kenworth,K270,2NKHHM6X0HM158424,Z050848,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71205,2017,Kenworth,K270,2NKHHM6X2HM158425,Z050849,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71206,2017,Kenworth,K270,2NKHHM6X5HM158421,Z050850,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71207,2017,Kenworth,K270,2NKHHM6X4HM158426,Z050787,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71208,2017,Kenworth,K270,2NKHHM6X9HM158423,Z050788,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71209,2017,Kenworth,K270,2NKHHM6X8HM158428,Z050789,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71210,2021,International,MV607,3HAEWMML7ML308643,,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71211,2021,International,MV607,3HAEWMML4ML597352,Z077048,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Straight Trucks,71212,2022,Freightliner,M2106,1FVACWFB1NHNM2521,,UT,,7/1/16,Straight Truck,,,245/70R19.5
RC Willey,Boise Delivery,Boise Light Duty Trucks,71223,2019,Ford,F350,1FDRF3H60KEG59388,,,,6/1/20,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71801,2013,Freightliner,Sprinter,WDYPE8CC8D5733883,KT7784,ID,,12/15/13,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71806,2007,Ford,E150,1FTNE14W67DA61321,1ASR626,ID,,6/15/07,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71807,2012,Ford,E150,1FTNE2EL3CDB37341,1A0716X,ID,,10/1/12,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71808,2013,Ford,E150,1FTNE1EW0DDA61082,1A5817G,ID,,5/1/13,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71810,2016,Freightliner,Sprinter,WDYPE8DD7GP176321,1A6335S,ID,,3/1/16,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71811,2016,Ford,Transit,1FTYR1YM1GKB50476,KX 3336,ID,,3/15/17,Light Duty,,,
RC Willey,Boise Delivery,Boise Vans,71812,2019,Freightliner,Sprinter,W2W40BHY1KT019303,,,,12/1/21,Light Duty,,,
RC Willey,Boise Delivery,Boise Trailers,57344,2005,DNDA,DA30,1D9ST301751149126,TE628,ID,,1/1/05,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,57370,2007,Great Dane,"S/A, Van, 31'",1GRAA61107B710547,TE652,ID,,1/1/07,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,71400,2019,Kentucky,DA30,1KKVC3016KL243715,TM2803,ID,,8/15/19,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,71402,2019,Kentucky,DA30,1KKVC301XKL243717,TM2806,ID,,8/15/19,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,71403,2019,Kentucky,DA30,1KKVC3011KL243718,TM2804,ID,,8/15/19,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,66001,2006,Interstate,utility,4RACS10146K015164,23841R,UT,,6/1/06,Trailer,,,
RC Willey,Boise Delivery,Boise Trailers,66002,2006,Interstate,utility,4RACS10126KD15549,LM751,ID,,6/1/06,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,71118,2017,International,4300,1HSMMMMN2HH474653,Z050488,UT,,8/15/16,Tractor,,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,71119,2017,International,4300,1HSMMMMN4HH474654,Z050714,UT,,8/15/16,Tractor,,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59143,2019,Freightliner,M2106,3AKBCXD23KDKL6519,Z064671,UT,,8/1/18,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59144,2020,Freightliner,M2106,3AKBCXD2XLDLN4620,Z075778,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59145,2020,Freightliner,M2106,3AKBCXD21LDLN4618,Z067165,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59146,2020,Freightliner,M2106,3AKBCXD27LDLN4624,Z069974,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59147,2020,Freightliner,M2106,3AKBCXD23LDLN4619,Z067167,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59148,2020,Freightliner,M2106,3AKBCXD2XLDLN4617,Z067166,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Deliver Tractors,59149,2020,Freightliner,M2106,3AKBCXD28LDLN4616,Z067169,UT,,10/1/19,Tractor,Detroit,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Transfer Trucks,59504,2018,Freightliner,CA113,3AKJGBDV7KSKH2332,Z064670,UT,,8/15/18,Tractor,,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Transfer Trucks,59139,2012,Kenworth,T370,2XKHAN7X4CM318506,Z017189,UT,,8/1/18,Tractor,,,295/75R22.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59212,2016,Kenworth,K270,3BKJHM6X3GF581049,Z062723,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59213,2016,Kenworth,K270,3BKJHM6X3GF581052,Z041261,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59214,2016,Kenworth,K270,3BKJHM6X7GF581054,Z067957,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59215,2016,Kenworth,K270,3BKJHM6X1GF581051,Z042127,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59216,2016,Kenworth,K270,3BKJHM6X2GF581057,A039956,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59217,2016,Kenworth,K270,3BKJHM6X6GF581059,A039347,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59218,2016,Kenworth,K270,3BKJHM6X5GF581053,A031091,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59219,2016,Kenworth,K270,3BKJHM6X9GF581055,A026787,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59223,2016,Kenworth,K270,3BKJHM6X4GF581058,A023602,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59224,2016,Kenworth,K270,3BKJHM6X0GF581056,A017176,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59225,2016,Kenworth,K270,3BKJHM6XXGF581050,A046295,UT,,5/1/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59226,2017,Kenworth,T270,2NKHHM6X7HM158422,Z051508,UT,,10/15/16,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59227,2017,Kenworth,T270,2NKHHM6X6HM158427,Z051509,UT,,10/15/16,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59228,2017,Kenworth,T270,2NKHHM6XXHM158429,Z051510,UT,,10/15/16,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59230,2021,Freightliner,M2106,3ALACWFB4MDMT2745,Z076980,UT,,3/1/21,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Straight Trucks,59231,2021,Freightliner,M2106,3ALACWFB6MDMT2746,A043937,UT,,3/1/21,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,Henderson Store,72703,2016,Freightliner,M2106,3ALACWDT3GDHC2103,A043859,UT,,8/15/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,Summerlin Store,74721,2016,Freightliner,M2106,3ALA3WDT0GDHC2107,A017995,UT,,8/15/15,Straight Truck,,,245/70R19.5
RC Willey,Nevada Distribution Center - NDC,NDC Light Duty Trucks,59229,2017,Ford,F350,1FDRF3G69HEC09037,634C76,NV,,4/1/17,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59805,2015,Freightliner,Sprinter,DEYPE8DCEFP125559,639C76,NV,,8/1/15,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59806,2014,Freightliner,Sprinter,WDYPE8DC5E5889072,638C76,NV,,7/1/15,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59807,2016,Ford,Transit,1FTYE1YM9GKA36740,640C76,NV,,2/1/16,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59808,2015,Ford,Transit,1FTNE2CM2FKA09264,635C76,NV,,4/1/16,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59810,2016,Ford,Transit,1FTYE1YMXGKB17794,637C76,NV,,11/1/16,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59811,2016,Ford,Transit,1FTYR1YMXGKB50475,641C76,NV,,5/1/17,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59812,2016,Ford,Transit,1FTYE1YM5GKA07140,636C76,NV,,6/1/17,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Vans,59813,2019,Freightliner,Sprinter,WDRPF1ED6KT011052,102K84,NV,,11/1/19,Light Duty,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59324,2003,DNDA,DA30,1D9ST30153S149103,TE722,ID,,1/1/03,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59325,2002,DNDA,DA30,1D9ST30122S149086,TE1074,ID,,1/1/02,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59326,2003,DNDA,DA30,1D9ST30123S149106,TE724,ID,,1/1/03,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59335,2012,Kentucky,DA30,1KKVC3019CL232824,TE8038,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59337,2012,Kentucky,DA30,1KKVC3012CL232826,TE8040,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59338,2012,Kentucky,DA30,1KKVC3014CL232827,TE8041,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59339,2012,Kentucky,DA30,1KKVC3016CL232828,TE8042,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59340,2012,Kentucky,DA30,1KKVC3018CL232829,TE8043,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59341,2012,Kentucky,DA30,1KKVC3014CL232830,TE8044,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59342,2012,Kentucky,DA30,1KKVC3016CL232831,TE8045,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,77305,2012,Kentucky,DA30,1KKVC301XCL232816,TE8030,ID,,8/1/12,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,59421,2003,DNDA,DA30,1D9ST30133S149115,TE726,ID,,1/1/03,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Trailers,71400,2019,Kentucky,DA30,1KKVC3016KL243715,TM2803,ID,,8/1/19,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,59600,1998,Great Dane,7311TPS,1GRAA0624XS001733,10944 P/T,NV,,1/1/98,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57617,2008,Utility,4000 DX,1UYVS25309P647504,TE679,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57620,2008,Utility,4000 DX,1UYVS25369P647507,TE682,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57621,2009,Utility,4000 DX,1UYVS25389P647508,TE683,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57624,2008,Utility,4000 DX,1UYVS25389P647511,TE686,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57627,2008,Utility,4000 DX,1UYVS25339P647514,TE689,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57630,2008,Utility,4000 DX,1UYVS25399P647517,TE692,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57633,2008,Utility,4000 DX,1UYVS25399P647520,TE699,ID,,1/1/08,Trailer,,,
RC Willey,Nevada Distribution Center - NDC,NDC Storage Trailers,57634,2008,Utility,4000 DX,1UYVS25309P647521,TE702,ID,,1/1/08,Trailer,,,
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57010,2019,Freightliner,M2106,3AKBCXD21KDKL6518,Z064669,UT,$75925,9/1/18,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57011,2019,Freightliner,M2106,3AKBCXD2XKDKL6520,Z063684,UT,$75925,9/1/18,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57012,2019,Freightliner,M2106,3AKBCXD21KDKL6521,Z063683,UT,$75925,9/1/18,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57014,2019,Freightliner,M2106,3AKBCXD25KDKL6523,Z063685,UT,$75925,9/1/18,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57015,2020,Freightliner,M2106,3AKBCXD23LDLN4622,Z069976,UT,$81481,11/15/19,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57016,2020,Freightliner,M2106,3AKBCXD25LDLN4623,Z069975,UT,$81481,11/15/19,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57017,2020,Freightliner,M2106,3AKBCXD21LDLN4621,Z072445,UT,$81481,11/15/19,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57018,2021,Freightliner,M2106,3AKBCXD23MDMT2740,Z076101,UT,$77619,11/23/20,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57019,2021,Freightliner,M2106,3AKBCXD27MDMT2739,Z075843,UT,$77619,11/23/20,Tractor,Detroit,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57179,2017,Freightliner,M2106,3AKBCXCYXHDJB1415,A014457,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57180,2017,Freightliner,M2106,3AKBCXCY1HDJB1416,A020718,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57181,2017,Freightliner,M2106,3AKBCXCY3HDJB1417,A020719,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57182,2017,Freightliner,M2106,3AKBCXCY5HDJB1418,A020720,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57183,2017,Freightliner,M2106,3AKBCXCY7HDJB1419,A014456,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57184,2017,Freightliner,M2106,3AKBCXCY3HDJB1420,A014455,UT,,7/11/16,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57185,2018,Freightliner,M2106,3AKBCXFEXJDJR6882,A019686,UT,,8/1/17,Tractor,Cummins,,295/75R22.5
RC Willey,Intermountain Distribution Center - IDC,IDC Delivery Tractors,57186,2018,Freightliner,M2106,3AKBCXFE8JDJR6878,Z049390,UT,,8/1/17,Tractor,Cummins,,295/75R22.5
